pitcher_id,pitcher_trackman_id,global_cost
24267,50556,3.8781583
24269,642098,0.30338144
24300,592644,0.41382304
24303,663399,0.3625269
24305,51264,0.703941
24306,69539,0.61298406
24307,65949,0.6771282
24310,69991,0.23126364
24313,68896,0.56598115
24327,605138,0.5861375
24329,68908,0.5824168
24334,52992,0.6489855
24339,53973,0.6564485
24340,53995,0.6176436
24344,63492,1.091056
24346,52460,2.0152538
24355,52204,0.9965322
24369,668766,1.4866961
24376,658431,1.8135599
24389,62363,0.53933287
24392,68036,1.4676964
24410,645307,0.31908476
24424,63248,0.7857509
24440,642203,0.34586462
24444,668684,0.38854533
24447,68639,0.46935788
24459,68220,0.52594006
24460,69962,0.4591471
24461,63464,0.47252175
24463,64017,0.51835495
24465,52639,0.45984837
24467,51097,0.5303878
